source_id,source_type,source_origin,source_description,source_path
1,Article,newspapers.com,Camden Post-Telegram: 1925-10-27,https://uss-sequoia.com/wp-content/sequoia-source-files/1925-10-27_The_Morning_Post.jpg
2,Photo,Joseph Pearce Photos,Sequoia II Launch (stern),https://uss-sequoia.com/wp-content/sequoia-source-files/Sequoia-II_Launch_(stern)_10-27-25.png
3,Photo,Joseph Pearce Photos,Sequoia II Launch (bow),https://uss-sequoia.com/wp-content/sequoia-source-files/Sequoia-II_Launch_(bow)_10-27-25.png
4,Photo,Joseph Pearce Photos,Sequoia II Christening,https://uss-sequoia.com/wp-content/sequoia-source-files/Sequoia-II_Christening_10-27-25.png
5,Article,newspapers.com,"Republican and Herald: Sat, Apr 25, 1931",https://uss-sequoia.com/wp-content/sequoia-source-files/Republican_and_Herald_Sat__Apr_25__1931_.jpg
6,Article,newspapers.com,"The Philadelphia Inquirer: Sun, Apr 26, 1931",https://uss-sequoia.com/wp-content/sequoia-source-files/The_Philadelphia_Inquirer_Sun_Apr_26_1931.jpg
7,Book,Hardcopy,"Sequoia: Presidential Yacht, by Giles Kelly",https://isbnsearch.org/isbn/9780870335617
8,Article,newspapers.com,"Daily News: Mon, Dec 26, 1932",https://uss-sequoia.com/wp-content/sequoia-source-files/1932-12-26_Daily_News.pdf
9,Video,britishpathe.com,President and Mrs Hoover on Last Vacation Before Leaving White House,https://www.britishpathe.com/asset/90782/
10,Diary,FDR Library,"FDR Day by Day, April 23rd, 1933",http://www.fdrlibrary.marist.edu/daybyday/daylog/april-23rd-1933/
11,Logbook,National Archives,Sequoia Logbook; 1933-04-01 to 1933-04-30,https://uss-sequoia.com/wp-content/sequoia-source-files/1933-04-01_to_1933-04-30_logbook.pdf
12,Article,New York Times archive,"1933-04-23 NYT - ""PARLEY IS HELD ON YACHT""",https://nyti.ms/3C1oZtS
13,Article,Google Books,"Time: The Weekly Newsmagazine; May 1, 1933",https://www.google.com/books/edition/Time/JiEHAQAAIAAJ?hl=en&gbpv=1&dq=%20sequoia&pg=RA4-PA9&printsec=frontcover
14,Article,newspapers.com,"The Philadelphia Inquirer: Mon, Apr 24, 1933",https://uss-sequoia.com/wp-content/sequoia-source-files/The_Philadelphia_Inquirer_Mon__Apr_24__1933_-2.pdf
15,Article,newspapers.com,"Wilmington Daily Press Journal: Mon, Apr 24, 1933",https://uss-sequoia.com/wp-content/sequoia-source-files/Wilmington_Daily_Press_Journal_Mon__Apr_24__1933.jpg
16,Logbook,National Archives,Sequoia Logbook; 1935-10-01 to 1935-10-31,https://uss-sequoia.com/wp-content/sequoia-source-files/1935-10-01_to_1935-10-31_logbook.pdf
17,Diary,FDR Library,"FDR Day by Day, October 26th, 1935",http://www.fdrlibrary.marist.edu/daybyday/daylog/october-26th-1935/
18,Diary,FDR Library,"FDR Day by Day, October 27th, 1935",http://www.fdrlibrary.marist.edu/daybyday/daylog/october-27th-1935/
19,Article,newspapers.com,"The Ogden Standard Examiner: Sat, Oct 26, 1935",https://uss-sequoia.com/wp-content/sequoia-source-files/The_Ogden_Standard_Examiner_Sat__Oct_26__1935.jpg
20,Article,New York Times archive,"New York Times: President Opens Bridge, 1935:10:27",https://uss-sequoia.com/wp-content/sequoia-source-files/1935-10-27_New_York_Times-President_Opens_Bridge.pdf
21,Photo,New York Times archive,1935-10-26 Sequoia (NYT) Photo,https://uss-sequoia.com/wp-content/sequoia-source-files/1935-10-26_Sequoia_(NYT)_Photo.jpg
22,Photo,LeVarn Collection,1935-10-26 Sequoia (LeVarn Collection) Photo-1,https://uss-sequoia.com/wp-content/sequoia-source-files/1935-10-26_Sequoia_(LeVarn-Collection)_Photo-1.jpg
23,Photo,LeVarn Collection,1935-10-26 Sequoia (LeVarn Collection) Photo-2,https://uss-sequoia.com/wp-content/sequoia-source-files/1935-10-26_Sequoia_(LeVarn-Collection)_Photo-2.jpg
24,Photo,LeVarn Collection,1935-10-26 Sequoia (LeVarn Collection) Photo-3,https://uss-sequoia.com/wp-content/sequoia-source-files/1935-10-26_Sequoia_(LeVarn-Collection)_Photo-3.jpg
25,Photo,LeVarn Collection,1935-10-26 Sequoia (LeVarn Collection) Photo-4,https://uss-sequoia.com/wp-content/sequoia-source-files/1935-10-26_Sequoia_(LeVarn-Collection)_Photo-4.jpg
26,Photo,LeVarn Collection,1935-10-26 Sequoia (LeVarn Collection) Photo-5,https://uss-sequoia.com/wp-content/sequoia-source-files/1935-10-26_Sequoia_(LeVarn-Collection)_Photo-5.jpg
27,Photo,LeVarn Collection,1935-10-26 Sequoia (LeVarn Collection) Photo-6,https://uss-sequoia.com/wp-content/sequoia-source-files/1935-10-26_Sequoia_(LeVarn-Collection)_Photo-6.jpg
28,Photo,LeVarn Collection,1935-10-26 Sequoia (LeVarn Collection) Photo-7,https://uss-sequoia.com/wp-content/sequoia-source-files/1935-10-26_Sequoia_(LeVarn-Collection)_Photo-7.jpg
29,Photo,LeVarn Collection,1935-10-26 Sequoia (LeVarn Collection) Photo-8,https://uss-sequoia.com/wp-content/sequoia-source-files/1935-10-26_Sequoia_(LeVarn-Collection)_Photo-8.jpg
30,Photo,LeVarn Collection,1935-10-26 Sequoia (LeVarn Collection) Photo-9,https://uss-sequoia.com/wp-content/sequoia-source-files/1935-10-26_Sequoia_(LeVarn-Collection)_Photo-9.jpg
31,Photo,LeVarn Collection,1935-10-26 Sequoia (LeVarn Collection) Photo-10,https://uss-sequoia.com/wp-content/sequoia-source-files/1935-10-26_Sequoia_(LeVarn-Collection)_Photo-10.jpg
32,Photo,LeVarn Collection,1935-10-26 Sequoia (LeVarn Collection) Photo-11,https://uss-sequoia.com/wp-content/sequoia-source-files/1935-10-26_Sequoia_(LeVarn-Collection)_Photo-11.png
33,Diary,Truman Library,"Daily Appointments of Harry S. Truman; July 1, 1947",https://www.trumanlibrary.gov/calendar?month=7&day=1&year=3
34,Letter,Truman Library,"Letter from Harry S. Truman to Bess W. Truman, July 1, 1947",https://www.trumanlibrary.gov/library/truman-papers/correspondence-harry-s-truman-bess-wallace-truman-1921-1959/july-1-1947?documentid=NA&pagenumber=2
35,Interview,JFK Library,"FAY, PAUL B.: Oral History Interview - JFK #4, 2/5/1971",https://www.jfklibrary.org/asset-viewer/archives/JFKOH/Fay%2C%20Paul%20B/JFKOH-PBF-04/JFKOH-PBF-04
36,Diary,LBJ Library,1965-08-12 LBJ Daily Diary,https://www.discoverlbj.org/item/pdd-19650812
37,Diary,LBJ Library,1965-08-12 Mrs. Johnson Audio Diary,https://www.discoverlbj.org/item/ctjd-19650812
38,Article,newspapers.com,"The Oshkosh Northwestern: Fri, Aug 13, 1965",https://uss-sequoia.com/wp-content/sequoia-source-files/The_Oshkosh_Northwestern_Fri__Aug_13__1965.jpg
39,Diary,LBJ Library,1966-08-24 LBJ Daily Diary,https://www.discoverlbj.org/item/pdd-19660824
