voyage id,source id,page # 
1,1,
1,2,
1,3,
1,4,
2,5,
2,6,
2,7,15
3,7,17
3,8,158
3,9,
4,10,
4,11,7
4,12,1-2
4,13,
4,14,
4,15,
5,16,12
5,17,
5,18,
5,19,
5,20,
5,21,
5,22,
5,23,
5,24,
5,25,
5,26,
5,27,
5,28,
5,29,
5,30,
5,31,
5,32,
6,7,28
6,33,
6,34,
7,7,38
7,35,
8,36,
8,37,
8,38,
9,39,
10,40,74
10,41,
11,42,
11,43,
11,44,
11,45,
12,46,
12,47,
12,7,62
13,48,
13,49,
14,7,15-16
14,50,
14,51,5
15,7,16
15,52,
15,53,
15,54,
15,55,
16,11,5
17,11,9
17,56,
17,57,
18,58,3
18,59,
18,60,
19,58,5
19,61,
19,62,
20,58,9
20,63,
20,64,
20,65,
21,66,3
21,67,
22,66,5
23,66,7
24,66,15-17
25,66,19
26,68,3
27,68,7-9
27,69,
27,70,
27,71,
28,68,11-15
28,72,
28,73,
28,74,
29,68,19
29,75,
30,68,21-23
30,76,
30,77,
30,78,
31,79,2
31,80,
31,81,
31,82,
32,79,20-22
32,83,
32,84,
32,85,
32,86,
32,87,
33,88,3
33,89,
34,88,5
34,90,
36,94,
36,95,
37,96,
37,97,
38,98,
38,99,
38,100,
38,101,
38,102,
39,103,
39,104,
40,105,
40,106,
40,107,
40,108,
40,109,
41,110,101
41,111,
41,112,
42,113,
42,114,
42,115,
42,116,
43,88,9-11
43,7,22
43,117,
43,118,
43,119,
44,120,
44,121,
44,122,
44,123,
45,124,
45,125,
45,126,
46,127,
46,128,
47,129,
47,130,
47,131,
48,132,
48,133,
48,134,28
49,135,
49,136,
49,137,
50,138,3-5
50,139,
50,140,
51,141,
51,142,
51,143,2
52,138,7-9
52,144,
52,145,
52,146,
52,147,
53,138,11
53,149,
53,150,
54,138,13
54,151,
55,152,3-5
55,153,
55,154,
56,155,6-8
56,156,
56,157,
56,158,
57,155,14-16
57,159,
57,160,
58,155,22-26
58,161,
58,162,
58,163,
59,155,32-34
59,164,
59,165,
60,166,6-8
60,167,
60,168,
61,166,12-16
61,169,
61,170,
61,171,
61,172,
62,166,18
63,166,20
63,173,
64,174,6
65,174,8
66,174,10
67,175,54
68,176,281
68,177,
